Equipment County,Equipment Borough,Equipment Street No.,Equipment Street Address,Equipment City,Equipment Zip Code,Equip. Unique ID,Intended Use,Manufacturer,Model,Cooling Capacity,Cooling Capacity Unit,Commissioned Date,Inspection Date,Date of Bacteriological Sample Collection,Date of Legionella Sample Collection ,"Last Legionella Sample Result > 1,000 CFU/mL",Location 1
New York,Manhattan,14,Wall Street,New York,10005,1676,Air Conditioning,Marley,APPF,2400,Tonnage,1/1/55,4/10/17,4/10/17,4/12/17,no,"(40.707446197, -74.011038739)"
Erie,,1945,Sheridan Drive,Buffalo,14223,8161,Air Conditioning,Carrier,IP30MPW04050A00005,40,Tonnage,1/3/55,9/2/15,8/2/17,8/9/17,no,"(42.980393599895756, -78.86254860688407)"
Erie,,1945,Sheridan Drive,Buffalo,14223,8162,Air Conditioning,Carrier,1P30MPW04050A00005,40,Tonnage,1/3/55,,,,no,"(42.980393599895756, -78.86254860688407)"
Erie,,237,Main Street,Buffalo,14203,11021,Air Conditioning,Marley,115-1-01,2343,Tonnage,6/5/56,5/29/17,6/5/17,6/12/17,no,"(42.88093296878598, -78.87567415617289)"
New York,Manhattan,3,East 54 Street,New York,10022,3590,Air Conditioning,Marley,018705-002-92,500,Tonnage,6/21/56,6/19/17,10/26/16,6/19/17,no,"(40.760813245, -73.974568909)"
New York,Manhattan,666,5 Ave,New York,10019,2421,Air Conditioning,Phillips Mechancial Draft Counter Flow Cooling Tower,N/A,6600,Tonnage,6/26/56,2/4/16,,3/7/16,no,"(40.76041535118467, -73.97606632083263)"
New York,Manhattan,415,Madison Avenue,NYC,10017,2930,Air Conditioning,Marley,Custom Built,800,Tonnage,7/5/56,9/5/15,,,no,"(40.756706863, -73.976246349)"
New York,Manhattan,415,Madison Avenue,NYC,10017,2937,Air Conditioning,Marley,Custom Built,800,Tonnage,7/5/56,9/5/15,9/4/15,,no,"(40.756706863, -73.976246349)"
New York,Manhattan,415,Madison Avenue,NYC,10017,3056,Air Conditioning,Marley,Custom Built Tower,800,Tonnage,7/5/56,10/31/16,8/16/16,8/16/16,no,"(40.756706863, -73.976246349)"
New York,Manhattan,136,East 55th Street,New York,10022,6022,Air Conditioning,BAC,custom built,100,Tonnage,8/7/56,8/8/15,8/14/15,10/19/16,no,"(40.759407442, -73.969822288)"
New York,Manhattan,59,Park Ave,New York,10016,10221,Air Conditioning,unable to read,unable to read,,Tonnage,11/1/56,1/30/17,10/4/16,10/27/16,no,"(40.74930985951188, -73.97941539997993)"
New York,Manhattan,400,Park Ave,New York,10022,6027,Air Conditioning,Marley,1957,1000,Tonnage,9/2/57,8/21/15,9/11/15,8/28/15,no,"(40.759976297, -73.972253698)"
New York,Manhattan,490,Riverside Drive,New York ,10027,6506,Air Conditioning,Baltimore Aircoil,T1463RCW,91.8,BTU,9/2/57,,,,no,"(40.812086114, -73.9631622)"
New York,Manhattan,111,West 40th Street,New York,10018,2055,Air Conditioning,Phillips ,7272-AN-18-SCS-4,2300,Tonnage,1/1/58,3/24/17,10/24/16,7/3/17,no,"(40.753836533, -73.985458229)"
New York,Manhattan,355,Lexington Ave.,New York,10017,8390,Air Conditioning,Phillips,custom built,900,Tonnage,2/5/58,2/19/16,,,no,"(40.750275985553856, -73.9767306363701)"
New York,Manhattan,355,Lexington ave,New York,10017,8646,Air Conditioning,Phillips,custom built,900,Tonnage,3/3/58,3/15/16,,,no,"(40.750275985553856, -73.9767306363701)"
