Equipment County,Equipment Borough,Equipment Street No.,Equipment Street Address,Equipment City,Equipment Zip Code,Equip. Unique ID,Intended Use,Manufacturer,Model,Cooling Capacity,Cooling Capacity Unit,Commissioned Date,Inspection Date,Date of Bacteriological Sample Collection,Date of Legionella Sample Collection ,"Last Legionella Sample Result > 1,000 CFU/mL",Location 1
Monroe,,1700,Lexington Ave,Rochester,14606,5724,Air Conditioning,Marley,212-522,1100,Tonnage,9/30/85,10/24/16,,12/16/16,no,"(43.18086382291084, -77.67724740186388)"
New York,Manhattan,375,Hudson Street,New York,10014,10075,Air Conditioning,Marley Cooling Tower Company,222-615,5,Tonnage,10/1/85,4/21/17,5/24/17,5/24/17,no,"(40.728426261460434, -74.0073691397921)"
New York,Manhattan,322-338,East 44th Street,New York,10017,7826,Air Conditioning,Evapco,LST10-242,500,Tonnage,10/8/85,,9/4/15,,no,"(40.75083217762564, -73.97071535323903)"
New York,Manhattan,250,East 54 street,New York,10022,8727,Air Conditioning,Evapco,LSTA 10-87,,BTU,10/15/85,9/15/15,,,no,"(40.75744826780868, -73.96709237946607)"
New York,Manhattan,9-Jul,Bond Street,New York,10012,10206,Air Conditioning,Marley,JW-25C,,Tonnage,11/1/85,,,,no,"(40.726741711013084, -73.99446020676642)"
New York,Manhattan,156,West 56 Street,New York,10019,977,Air Conditioning,Baltimore Aircoil Company,VXT-400CMS,450,Tonnage,12/18/85,5/26/17,5/26/17,5/26/17,no,"(40.764380424, -73.979676079)"
New York,Manhattan,156,West 56 Street,New York,10019,988,Air Conditioning,Baltimore Aircoil Company,VXT-400CMS,450,Tonnage,12/18/85,5/26/17,5/26/17,5/26/17,no,"(40.764380424, -73.979676079)"
New York,Manhattan,156,West 56 Street,New York,10019,994,Air Conditioning,Baltimore Aircoil Company,VXT-400CMS,450,Tonnage,12/18/85,5/26/17,5/26/17,5/26/17,no,"(40.764380424, -73.979676079)"
New York,Manhattan,61,Broadway,New York,10006,145,Air Conditioning,BAC,3766-3 ,1999,Tonnage,12/23/85,,,8/10/15,no,"(40.70695735, -74.012509765)"
New York,Manhattan,208,79 St,New York,10075,1026,Air Conditioning,Baltimore,VXT-7CCR,0,Tonnage,1/1/86,8/17/15,,8/19/15,no,"(40.773887404117026, -73.95674422848381)"
Otsego,,275,River St,Oneonta,13820,1635,Other,Baltimore Air Coil,VXI-105-3,116,Tonnage,1/1/86,9/14/15,9/14/15,9/14/15,no,"(42.445045847, -75.092061724)"
New York,Manhattan,50,West 57th Street,New York,10019,2195,Air Conditioning,Climate Control Snyder General,GP-50,,BTU,1/1/86,8/17/15,,,no,"(40.763859188, -73.976510903)"
New York,Manhattan,1,Park Avenue,New York,10016,2303,Air Conditioning,Baltimore Aircoil Company,VXT-1600,,BTU,1/1/86,5/9/17,5/9/17,5/9/17,no,"(40.745985309341236, -73.98184391848262)"
Erie,,938,Delaware Ave,Buffalo,14222,3079,Air Conditioning,Baltimore Air Coil,VXC-58PR,58,Tonnage,1/1/86,7/12/17,8/10/17,7/18/17,no,"(42.909535862265194, -78.87132865289719)"
New York,Manhattan,200,Liberty Street,"New York,",10281,3097,Air Conditioning,Baltimore,VXT-70CR,0,Tonnage,1/1/86,8/17/15,,8/17/15,no,"(40.711226331, -74.015389767)"
Westchester,,6,International Drive,Rye,10573,4741,Air Conditioning,Baltimore AirCoil,J1809B24R,1200,Tonnage,1/1/86,3/8/17,3/7/17,5/3/17,no,"(41.05135211401244, -73.68960745120897)"
New York,Manhattan,401,East 86th Street,New York,10028,5184,Air Conditioning,Aquatower,UNKNOWN,550,CFM,1/1/86,,,,no,"(40.776910345, -73.949047125)"
Ontario,,7647,Main Street ,Victor,14564,6133,Air Conditioning,EVAPCO,LRW-43-1,74,Tonnage,1/1/86,9/10/15,9/10/15,,no,"(43.007962084, -77.455511058)"
New York,Manhattan,1,Park Avenue,New York,10016,6189,Air Conditioning,Baltimore AirCoil Co (BAC),VXT-1600,,BTU,1/1/86,5/24/16,11/4/15,6/17/16,no,"(40.745977046, -73.981842476)"
New York,Manhattan,1,Park Avenue,New York,10016,6192,Air Conditioning,Baltimore AirCoil Co (BAC),VXT-1200,,BTU,1/1/86,5/24/16,11/4/15,6/20/16,no,"(40.745977046, -73.981842476)"
Onondaga,,240,Oneida St,Syracuse,13202,6253,Refrigeration,Imeco,XLP-S 205,135,Tonnage,1/1/86,6/13/17,5/23/17,6/29/17,no,"(43.04189686240651, -76.15412926359909)"
Onondaga,,240,Oneida Street,Syracuse,13202,6256,Refrigeration,Imeco,XLP215,141,Tonnage,1/1/86,6/13/17,5/23/17,6/29/17,no,"(43.041888247, -76.154126967)"
New York,Manhattan,211,MADISON AVENUE,NEW YORK,10016,6766,Air Conditioning,EVAPCO,LSTB 5-512,166.83,Tonnage,1/1/86,,,,no,"(40.748711496, -73.982058109)"
Westchester,,10,Dana Road,Valhalla,10595,6969,Air Conditioning,Marley,8910,300,Tonnage,1/1/86,8/30/16,5/12/17,6/27/17,no,"(41.082187513, -73.813803835)"
New York,Manhattan,110,Fifth Avenue,New York,10011,7079,Air Conditioning,Marley,220,220,Tonnage,1/1/86,,,,no,"(40.737590185495634, -73.9927026978782)"
Kings,Brooklyn,30,Columbia Heights,Brooklyn,11201,8436,Air Conditioning,Baltimore Aircoil,J2412B22R,,BTU,1/1/86,9/22/16,4/25/16,9/23/15,no,"(40.7019252738068, -73.9946891563206)"
Kings,Brooklyn,30,Columbia Heights,Brooklyn,11201,8437,Air Conditioning,Baltimore Aircoil,J2412B22R,,BTU,1/1/86,9/22/16,9/2/16,8/4/16,no,"(40.7019252738068, -73.9946891563206)"
New York,Manhattan,9,West 57th Street,New York,10019,8824,Air Conditioning,Marley,8619,900,Tonnage,1/1/86,,4/1/16,3/15/16,no,"(40.763798281892704, -73.97518340537039)"
New York,Manhattan,9,West 57th Street,New York,10019,8825,Air Conditioning,Marley,8619,900,Tonnage,1/1/86,,4/1/16,3/15/16,no,"(40.763798281892704, -73.97518340537039)"
New York,Manhattan,9,West 57th Street,New York,10019,8826,Air Conditioning,Marley,8619,900,Tonnage,1/1/86,,4/1/16,3/15/16,no,"(40.763798281892704, -73.97518340537039)"
New York,Manhattan,9,West 57th Street,New York,10019,8827,Air Conditioning,Marley,8619,900,Tonnage,1/1/86,,4/1/16,3/15/16,no,"(40.763798281892704, -73.97518340537039)"
Ontario,,1,Lake Niagara Lane,Naples,14512,9324,Refrigeration,Baltimore Aircoil Co.,UNC-60,33,Tonnage,1/1/86,6/15/17,8/23/17,5/11/17,no,"(42.62148814673021, -77.39839158719259)"
Westchester,,25,Martine Ave,White Plains,10606,11094,Air Conditioning,Baltimore Aircoil Company,VXT-N215CS,,Other,1/1/86,5/15/17,4/18/17,4/18/17,no,"(41.031099409759854, -73.772693451975)"
Monroe,,235,Buffalo Road,Rochester,14611,7297,Other,Baltimore Air Coil,3542,160,Tonnage,1/2/86,2/1/17,3/27/17,6/19/17,no,"(43.151788187, -77.656584003)"
Monroe,,235,Buffalo Road,Rochester,14611,8718,Other,Baltimore Air Coil,FXT32,45,Tonnage,1/2/86,2/1/17,3/27/17,6/19/17,no,"(43.151797383007484, -77.65664559128801)"
Monroe,,235,Buffalo Road,Rochester,14611,8719,Other,Vilter,VPF-50,12,Tonnage,1/2/86,2/1/17,3/27/17,5/15/17,no,"(43.151797383007484, -77.65664559128801)"
New York,Manhattan,425,Lexington Ave,New York,10017,9633,Air Conditioning,Marley,220,500,Tonnage,1/27/86,8/1/17,9/12/17,7/19/17,no,"(40.75238774364227, -73.97518531397722)"
Saratoga,,461,Route 9N,Saratoga Springs,12866,4913,Refrigeration,Climate Control,GP-40,40,Tonnage,1/31/86,6/27/17,8/22/17,6/27/17,no,"(43.08887818596658, -73.82669443645956)"
Queens,Queens,75-20,Astoria Blvd,East Elmhurst,11370,8005,Air Conditioning,BAC,PT2-0709A-1K1,200,Tonnage,2/19/86,8/15/15,8/15/15,,no,"(40.76504497047916, -73.89241294952913)"
New York,Manhattan,250,Broadway,New York,10007,2855,Air Conditioning,Baltimore Aircoil Co.,CFT4-2430 FCMS,2200,Tonnage,3/1/86,7/10/17,7/10/17,7/10/17,no,"(40.71288138, -74.007583089)"
New York,Manhattan,100,United Nations Plaza,New York,10017,4864,Air Conditioning,Baltimore Aircoil Company,Unknown,3200,CFM,3/3/86,,,,no,"(40.75300166, -73.967613134)"
New York,Manhattan,7-Mar,West 35 Street,New York,10001,6745,Air Conditioning,Baltimore Aircoil Company,VXT-185CR,,BTU,3/3/86,,,,no,"(40.749218798223325, -73.98415827587753)"
New York,Manhattan,155,Spring Street,New York,10012,2244,Air Conditioning,Baltimore Aircoil Company,FXT-160,0,BTU,3/7/86,5/26/16,,6/3/16,no,"(40.724494262, -74.001600171)"
Monroe,,45,Fulton Ave,Rochester,14613,3202,Refrigeration,Imeco,XLP-270,127,Tonnage,3/10/86,6/28/17,6/28/17,6/26/17,no,"(43.169319614799996, -77.62889197347462)"
Suffolk,,2,SMITH HAVEN MALL,LAKE GROVE,11755,7027,Air Conditioning,BAC,VXT-1400 CR,3000,Tonnage,3/14/86,8/16/15,8/18/15,8/18/15,no,"(40.864800267, -73.127145862)"
Dutchess,,2070,Route 52,Hopewell Junction,12533,2039,Air Conditioning,Ceramic,PL450-60B,4000,Tonnage,4/1/86,,,,no,"(41.543442149, -73.823592067)"
New York,Manhattan,125-10,QUEENS BOULEVARD,KEW GARDENS,11415,6308,Air Conditioning,Baltimore Aircoil Company,3341-2R,600,Tonnage,4/1/86,5/1/17,6/14/17,5/4/17,no,"(40.712252421, -73.826479965)"
New York,,33,Whitehall St,New York,10004,9423,Air Conditioning,BAC,3754-2MS,1800,Tonnage,4/5/86,4/13/17,6/1/17,4/24/17,no,"(40.7033191604068, -74.01291576030788)"
Westchester,,500,Mamaroneck Ave.,Harrison,10528,10813,Air Conditioning,Marley/SPX,NC 8910,700,Tonnage,4/15/86,4/11/17,4/19/17,4/14/17,no,"(40.97696492384459, -73.74200556045913)"
New York,Manhattan,666,Greenwich Street,New York,10014,3200,Air Conditioning,Baltimore Air Coil,VXT-1050CR,600,Tonnage,5/1/86,8/27/15,6/26/17,6/20/17,no,"(40.73263217753697, -74.00772578461822)"
Westchester,,20,Old Post Rd,Armonk,10504,5212,Air Conditioning,Marley,M8905,200,Tonnage,5/1/86,11/8/16,11/8/16,11/15/16,no,"(41.175401623, -73.66784553)"
Onondaga,,700,South Warren Street,Syracuse,13202,3893,Air Conditioning,bac,vx1-703,250,Tonnage,5/5/86,,,,no,"(43.042730522, -76.150948174)"
Onondaga,,700,South Warren Street,Syracuse,13202,3899,Air Conditioning,bac,vx1-703,250,Tonnage,5/5/86,1/1/90,1/1/90,1/1/90,no,"(43.042730522, -76.150948174)"
Monroe,,17,Lomb Memorial Drive,Rochester,14623,253,Air Conditioning,Evapco,LSW-43B,200,Tonnage,5/8/86,5/30/17,6/20/17,7/25/17,no,"(43.085199191366385, -77.67440548502186)"
Erie,,420,Main St,Buffalo,14224,8191,Air Conditioning,Baltimore Air Coil,VST440B/440 tons,440,Tonnage,5/15/86,7/11/17,6/8/17,7/11/17,no,"(42.83284692457145, -78.75929141625043)"
New York,Manhattan,1,Park Avenue,New York,10016,2302,Air Conditioning,Baltimore Aircoil Company,VXT-1200,,BTU,5/29/86,5/11/17,5/11/17,5/11/17,no,"(40.745985309341236, -73.98184391848262)"
New York,Manhattan,32,Old Slip,New York,10005,512,Air Conditioning,CT 1A & 1B Baltimore Air Coil ,36642S,900,Tonnage,6/1/86,8/21/15,8/21/15,8/17/15,no,"(40.703795552, -74.008161398)"
New York,Manhattan,32,Old Slip,New York,10005,513,Air Conditioning,CT 2A & 2B Baltimore Air Coil,38685,1170,Tonnage,6/1/86,8/21/15,8/17/15,8/17/15,no,"(40.703795552, -74.008161398)"
New York,Manhattan,32,Old Slip,New York,10005,514,Air Conditioning,CT 3A & 3B Baltimore Air Coil,S3E-1020-07M,1170,Tonnage,6/1/86,8/21/15,8/21/15,8/17/15,no,"(40.703795552, -74.008161398)"
Westchester,,3,Executive Boulevard,Yonkers,10701,3583,Air Conditioning,BAC,VXT-N215C,215,Tonnage,6/1/86,7/24/17,7/24/17,7/24/17,no,"(40.97399027415589, -73.8796820899179)"
Westchester,,11-Jan,Martine Avenue,White Plains,10606,3597,Air Conditioning,BAC,VXT-1200CS,1200,Tonnage,6/1/86,7/24/17,7/24/17,7/24/17,no,"(41.030433513, -73.773303632)"
New York,Manhattan,75,Wall St,New York,10005,5521,Air Conditioning,Baltimore Aircoil Company,3654-2RS,200,Tonnage,6/1/86,4/27/17,5/2/17,4/27/17,no,"(40.70529185655095, -74.00774438772677)"
New York,Manhattan,390,Greenwich Street,New York,10013,2104,Air Conditioning,BAC,33990,1000,Tonnage,6/3/86,8/31/15,6/13/17,6/19/17,no,"(40.721096922, -74.010265726)"
New York,Manhattan,390,Greenwich Street,New York,10013,2105,Air Conditioning,BAC,33990,1000,Tonnage,6/3/86,5/30/17,6/13/17,6/19/17,no,"(40.721096922, -74.010265726)"
New York,Manhattan,390,Greenwich Street,New York,10013,2107,Air Conditioning,BAC,33990,1000,Tonnage,6/3/86,5/30/17,6/13/17,6/19/17,no,"(40.721096922, -74.010265726)"
Chemung,,1,Hardinge Dr,Elmira,14903,2406,Other,Baltimore Air Coil,VTO-102-LR,102,Tonnage,6/3/86,5/2/17,5/2/16,4/6/17,no,"(42.14324405147458, -76.8239325098691)"
New York,Manhattan,40,east 52nd Street,New York,10022,3476,Air Conditioning,Baltimore Aircoil,3-2423CS,1275,Tonnage,6/11/86,5/4/17,7/5/17,6/19/17,no,"(40.758723389, -73.974013145)"
New York,Manhattan,40,east 52nd street,New York,10022,3494,Air Conditioning,Baltimore Aircoil,3654S,400,Tonnage,6/11/86,5/4/17,7/5/17,6/19/17,no,"(40.758723389, -73.974013145)"
New York,Manhattan,90,john street,new york,10038,296,Air Conditioning,bac,fl843-lr,150,Tonnage,7/1/86,7/1/15,7/1/15,,no,"(40.707992444, -74.006320355)"
Oswego,,129,curtis st.,Fulton,13069,9694,Air Conditioning,Baltimore Air Coil,VX1-703R,75,Tonnage,7/7/86,8/22/16,6/6/16,6/6/16,no,"(43.302280886955714, -76.41963793863455)"
New York,Manhattan,390,Greenwich Street,New York,10013,2112,Air Conditioning,BAC,33990,1000,Tonnage,7/8/86,5/30/17,6/13/17,6/19/17,no,"(40.721096922, -74.010265726)"
New York,Manhattan,390,Greenwich Street,New York,10013,2115,Air Conditioning,BAC,33990,1000,Tonnage,7/8/86,8/31/15,6/13/17,6/19/17,no,"(40.721096922, -74.010265726)"
New York,Manhattan,390,Greenwich Street,New York,10013,2118,Air Conditioning,BAC,33990,1000,Tonnage,7/8/86,5/30/17,6/13/17,6/19/17,no,"(40.721096922, -74.010265726)"
Nassau,,85,Jamaica Ave,Plainview,11803,5104,Air Conditioning,Climate Control,Not Observed; Installed in 1980's,75,Tonnage,7/11/86,10/22/15,,10/22/15,no,"(40.780477225, -73.491834321)"
Rockland,,1, Utility Rd.,Thiells,10984,669,Air Conditioning,Baltimore Air Coil,CFT-2-2421,450,Tonnage,8/1/86,8/19/15,,8/19/15,no,"(41.207931225, -74.030307828)"
Kings,Brooklyn,100,North Portland Avenue,Brooklyn,11205,1579,Other,Marley Aquatower,47150,500,Tonnage,8/4/86,4/27/17,4/27/17,4/27/17,no,"(40.695135843, -73.976272039)"
Kings,Brooklyn,1650,Bedford Avenue,Brooklyn,11225,6199,Air Conditioning,EVAPCO,LSW 58C,120,Tonnage,8/4/86,11/9/16,8/16/16,8/16/16,no,"(40.666080028, -73.956989649)"
New York,Manhattan,104,Wooster Street,"New York, NY",10012,6400,Air Conditioning,BAC,3547,57350,CFM,8/14/86,8/13/15,8/13/15,8/13/15,no,"(40.724314508, -74.000900899)"
Oneida,,755,Residential Drive,Utica,13502,372,Air Conditioning,BAC,VXI-9-2R,5,Tonnage,8/16/86,5/17/17,8/1/17,8/16/17,no,
New York,Manhattan,155,Spring Street,New York,10012,2179,Air Conditioning,Baltimore Aircoil Company,FXT-160,0,BTU,8/19/86,5/26/16,,6/3/16,no,"(40.724494262, -74.001600171)"
New York,Manhattan,363,Hudson St,New York,10014,1085,Air Conditioning,Marley,222615,2750,Tonnage,8/21/86,8/12/15,8/31/15,8/31/15,no,"(40.72807122431841, -74.00725698131398)"
New York,Manhattan,590,Madison Avenue,New York,10022,285,Air Conditioning,Baltimore Air Coil (BAC),3868-25,1200,Tonnage,9/1/86,5/3/17,5/3/17,6/14/17,no,"(40.762179006, -73.972644564)"
New York,Manhattan,425,west 59th Street,New York,10019,1812,Air Conditioning,BAC,N/A,400,Tonnage,9/1/86,3/30/17,6/5/17,3/16/17,no,"(40.770009210403245, -73.98647964541635)"
New York,Manhattan,1681,BROADWAY,New York,10019,3193,Air Conditioning,BAC,VTX-150C,160,Tonnage,9/1/86,10/28/16,8/16/16,8/16/16,no,"(40.76319473673302, -73.98300204674199)"
New York,Manhattan,1535,Broadway,New York,10036,3338,Air Conditioning,Marley,NCC223CS,3800,Tonnage,9/1/86,5/5/17,6/7/17,4/18/17,no,"(40.758689978, -73.985423521)"
Onondaga,,1,Conservation Pl,Syracuse,13204,4088,Air Conditioning,BAC,VTL171-MMXR,128,Tonnage,9/1/86,6/13/17,6/13/17,5/16/17,no,"(43.043526378, -76.180921962)"
Erie,,6245,Sheridan Dr,Buffalo,14221,4108,Air Conditioning,BAC,VXT-150CR,133,Tonnage,9/1/86,4/12/16,7/12/17,7/12/17,no,"(42.975494898, -78.701124227)"
Westchester,,5,International Drive,Rye,10573,4953,Air Conditioning,Baltimore Air Coil,J180 9B 24 R,1200,Tonnage,9/1/86,3/8/17,3/7/17,5/3/17,no,"(41.051728051990494, -73.69036672673887)"
Westchester,,4,International Drive,Rye,10573,4964,Air Conditioning,Baltimore Air Coil,J1809B24R,1200,Tonnage,9/1/86,3/8/17,3/7/17,4/26/17,no,"(41.05106995719601, -73.69027686284366)"
Westchester,,100,Summit Lake Drive,Valhalla,10595,5054,Air Conditioning,Baltimore Air Coil,33235-2JM,1200,Tonnage,9/1/86,4/10/17,3/7/17,4/18/17,no,"(41.099155414, -73.77858801)"
New York,Manhattan,1285,Avenue of the Americas,New York,10019,6409,Air Conditioning,BAC,VXT-150,300,Tonnage,9/1/86,,,,no,"(40.760926414, -73.979960455)"
New York,Manhattan,2,Broad Street Plz,Glens Falls,12801,9854,Air Conditioning,Frick,CCC 160 HC11 85 A,9222,Tonnage,9/1/86,7/20/16,9/27/16,7/20/16,no,"(43.305831201525194, -73.65616267906528)"
New York,Manhattan,1681,BROADWAY,New York,10019,3195,Air Conditioning,BAC,VXT-20C,30,Tonnage,9/2/86,10/28/16,8/16/16,8/16/16,no,"(40.76319473673302, -73.98300204674199)"
Broome,,907,Front St,Binghamton,13905,7503,Air Conditioning,EVAPCO,BF1192312,30,Tonnage,9/8/86,11/1/16,10/23/16,10/23/16,no,"(42.1373361305264, -75.90506093152561)"
New York,Manhattan,42-22,22 St,Long Island City,11101,8046,Air Conditioning,IMECO,EFCC4233,200,Tonnage,9/26/86,6/2/17,6/2/17,4/24/15,no,"(40.75109765790065, -73.9437419578478)"
New York,Manhattan,4222,22nd St,Long Island City,11101,8047,Air Conditioning,IMECO,EFCC423.3,200,Tonnage,9/26/86,6/2/17,6/2/17,4/24/17,no,"(40.751094296420796, -73.94367920976094)"
Albany,,330,Old Niskayuna Rd,Latham,12110,7453,Air Conditioning,Ceramic Cooling  Tower Company,Pl-144-2A,224,Tonnage,10/15/86,6/14/17,6/14/17,1/11/17,no,"(42.741889117, -73.797178382)"
Rockland,,330,Blaisdell Rd,Orangeburg,10962,9487,Other,Naigra Blower Co,"4416 ""S""",,BTU,10/31/86,2/2/17,1/25/17,12/15/16,no,"(41.03517341121357, -73.97884213218064)"
Albany,,314,South Manning Blvd,Albany,12208,8996,Air Conditioning,Imeco,EFC-C 122-2,15,Tonnage,11/3/86,4/10/17,6/26/17,6/13/17,no,"(42.654757824700134, -73.80766907125105)"
New York,Manhattan,15-Nov,East 70 Street,New York,10021,2867,Air Conditioning,EVAPCO,LPT-586-LF,90,Tonnage,11/21/86,10/19/16,6/19/17,6/21/17,no,"(40.770951127, -73.967386157)"
New York,Manhattan,65,East 55th Street,New York,10022,401,Air Conditioning,Baltimore Aircoil Company,CFT-3-2433FCS,2250,Tonnage,12/1/86,6/29/17,7/28/17,6/29/17,no,"(40.760791349, -73.972207604)"
Monroe,,1561,Long Pond Road,Rochester,14626,2992,Air Conditioning,Baltimore Aircoil Company,VXT-N215CR,223,Tonnage,12/5/86,6/28/17,6/28/17,5/25/17,no,"(43.191753875, -77.705582508)"
Monroe,,1561,Long Pond Road,Rochester,14626,2996,Air Conditioning,Baltimore Aircoil Company,VXT-N215CR,223,Tonnage,12/5/86,6/28/17,6/28/17,5/25/17,no,"(43.191753875, -77.705582508)"
Albany,,575,Broadway,Albany,12207,4668,Air Conditioning,CCT,CT1150-2,225,Tonnage,12/31/86,3/9/17,5/2/17,1/11/17,no,"(42.65147464, -73.749506916)"
Ontario,,5250,North Street,Canandaigua,14424,1833,Other,Marley,220,400,Tonnage,1/1/87,6/7/17,7/11/17,6/7/17,no,"(42.903234591, -77.297982934)"
Broome,,2517,Vestal Parkway East,Vestal,13850,1861,Air Conditioning,EVAPCO,LS-18,125,Tonnage,1/1/87,4/10/17,4/10/17,4/10/17,no,"(42.095719922, -76.008133499)"
New York,Manhattan,650,Madison Avenue,New York,10022,2301,Air Conditioning,Baltimore Aircoil Company,VXT-700CP,700,Tonnage,1/1/87,5/23/17,5/23/17,6/1/17,no,"(40.763959779, -73.971324285)"
Monroe,,60,Corporate Woods,Rochester,14623,2678,Air Conditioning,EVAPCO,LSW 58B,85,Tonnage,1/1/87,5/22/17,8/11/17,8/18/17,no,"(43.10833015, -77.61948181)"
New York,Manhattan,825,8 AVENUE,NEW YORK,10019,3129,Air Conditioning,EVAPCO,LSTA 10-243,6400,Tonnage,1/1/87,9/9/15,2/18/15,,no,"(40.762220812, -73.986220046)"
New York,Manhattan,825,8 AVENUE,NEW YORK,10019,3131,Air Conditioning,EVAPCO,LSTA 10-243,6000,Tonnage,1/1/87,9/9/15,2/18/16,,no,"(40.762220812, -73.986220046)"
New York,Manhattan,825,8 AVENUE,NEW YORK,10019,3137,Air Conditioning,EVAPCO,LSTA 10-243,6000,Tonnage,1/1/87,9/9/15,2/18/16,,no,"(40.762220812, -73.986220046)"
New York,Manhattan,825,8 AVENUE,NEW YORK,10019,3140,Air Conditioning,EVAPCO,LSTA 10-243,6000,Tonnage,1/1/87,9/9/15,2/18/16,,no,"(40.762220812, -73.986220046)"
New York,Manhattan,146,West 57th Street,New York,10019,4170,Air Conditioning,Baltimore Aircoil Company,VXT-800CR,100,Tonnage,1/1/87,8/18/15,8/18/15,8/18/15,no,"(40.764962747, -73.979123892)"
Erie,,168,Creekside Drive,Amherst,14228,4764,Other,BAC,F1482-OR,300,Tonnage,1/1/87,9/16/15,9/16/15,10/20/16,no,"(43.03173025577829, -78.81526832767838)"
Monroe,,800,Phillips Road,Webster,14580,5043,Air Conditioning,Marley,222-523,1500,Tonnage,1/1/87,6/30/17,8/14/17,8/21/17,no,"(43.223195731, -77.416456562)"
Erie,,2970,Transit Rd,Buffalo,14224,5402,Air Conditioning,Baltimore Air Coil (BAC),F16620R,310,Tonnage,1/1/87,8/26/15,8/28/15,,no,"(42.84802746786141, -78.69888586234334)"
Erie,,2970,Transit Rd,Buffalo,14224,5406,Air Conditioning,Baltimore Air Coil (BAC),F16620R,310,Tonnage,1/1/87,8/26/15,8/26/15,,no,"(42.84802746786141, -78.69888586234334)"
New York,Manhattan,309,West 49th Street,New York,10019,8262,Air Conditioning,Evapco,LSTA 10-243,3200,Tonnage,1/1/87,8/2/17,8/23/17,8/14/17,no,"(40.76206390192994, -73.98721182369461)"
New York,Manhattan,309,West 49th Street,New York,10019,8263,Air Conditioning,Evapco,LSTA 10-243,3200,Tonnage,1/1/87,8/2/17,8/23/17,8/14/17,no,"(40.76206390192994, -73.98721182369461)"
New York,Manhattan,600,Columbus Avenue,New York,10024,8970,Air Conditioning,BAC,FXT-133,133,Tonnage,1/1/87,4/27/17,5/2/17,4/27/17,no,"(40.78843432124248, -73.97082748710692)"
New York,Manhattan,500,West 185th Street,New York,10033,10079,Air Conditioning,Baltimore Air Coil ,T1663PCR,,BTU,1/1/87,8/16/16,9/13/16,9/27/16,no,"(40.85066449721402, -73.92986941435771)"
New York,,400,E 77 St,New York,10021,10461,Air Conditioning,Evapco,AT-29121,379,Tonnage,1/1/87,5/17/17,5/19/17,5/26/17,no,"(40.77071080934508, -73.95324825012094)"
New York,Manhattan,340,Henry St,Brooklyn,11201,10507,Air Conditioning,Marley,N/A,400,Tonnage,1/1/87,11/30/16,11/16/16,,no,"(40.689689535280586, -73.99682895759473)"
Monroe,,1561,Long Pond Rd.,Rochester,14626,11231,Air Conditioning,Baltimore Air Coil,VTX-N215CR,215,Tonnage,1/1/87,7/28/17,5/1/17,5/1/17,no,"(43.19176245305679, -77.70558531652125)"
Monroe,,1561,Long Pond Rd,Rochester,14626,11232,Air Conditioning,Baltimore Air Coil,VTX-N215CR,215,Tonnage,1/1/87,7/28/17,5/1/17,5/1/17,no,"(43.19176245305679, -77.70558531652125)"
New York,Manhattan,301,West 57 Street,New York,10019,6516,Air Conditioning,Baltimore Air Cooling,VXT400CR,400,Tonnage,2/1/87,8/19/15,8/18/15,8/18/15,no,"(40.766988912, -73.983107941)"
Rockland,,334,Route 9W,Palisades,10964,8315,Air Conditioning,BAC,S3000-3653-2,150,Tonnage,3/2/87,6/6/17,6/7/17,4/19/17,no,"(41.018733823729, -73.9218579728609)"
New York,Manhattan,37,44th,New York,11213,10539,Air Conditioning,Baltimore Aircoil Company,VXT-N215c,,BTU,3/4/87,3/10/17,6/12/17,6/8/17,no,"(40.67834424751844, -73.93572022870674)"
New York,Manhattan,820,Second Avenue,New York,10017,2292,Other,Marley,2201-770-87,700,Tonnage,3/23/87,8/5/15,8/5/15,8/21/15,no,"(40.751000239, -73.971249362)"
New York,Manhattan,1675,Broadway,NY,10019,3278,Air Conditioning,Baltimore Air Cool,3268-2S,,BTU,3/27/87,5/18/17,6/1/17,5/4/17,no,"(40.762952158, -73.983293882)"
Dutchess,,2070,Route 52,Hopewell Junction,12533,2052,Air Conditioning,Ceramic,Unilite 625-60B,4000,Tonnage,4/1/87,,,,no,"(41.543442149, -73.823592067)"
Onondaga,,650,S Salina St,Syracuse,13202,4588,Air Conditioning,EVAPCO,LSWA-41C,160,Tonnage,4/1/87,7/26/17,7/6/17,7/5/17,no,"(43.041711908099664, -76.15158327948639)"
Queens,Queens,64-42,Kissena Boulevard,Flushing,11367,4717,Air Conditioning,Evapco,AT8-182,400,Tonnage,4/1/87,7/28/17,7/15/17,7/13/17,no,"(40.737618414, -73.816958454)"
New York,Manhattan,1260,6th avenue,New York,10020,6582,Refrigeration,unknown,unknown,1000,Tonnage,4/1/87,9/22/16,,9/22/15,no,"(40.760134045173004, -73.98002074136664)"
New York,Manhattan,1260,6th ave,new york,10020,6594,Refrigeration,inknown,unknown,1000,Tonnage,4/1/87,9/22/16,6/24/16,9/22/16,no,"(40.760125779, -73.980019298)"
Erie,,250,International Dr,Buffalo,14221,8238,Air Conditioning,BAC,J0605B-35R,72,Tonnage,4/1/87,7/11/17,8/1/17,7/11/17,no,"(42.97575086756683, -78.73142789355623)"
Erie,,2330,Maple Rd,Buffalo,14221,11101,Air Conditioning,Evapco,LSWA-1220,385,Tonnage,4/1/87,5/19/17,6/14/17,5/19/17,no,"(42.989538200648155, -78.70214216452909)"
